episode,reward
1,-141184.00
2,-1578.00
3,-173569.00
4,1622.00
5,2037.00
6,-177800.00
7,-191468.00
8,-175370.00
9,-31187.00
10,2034.00
11,1373.00
12,-95274.00
13,-160987.00
14,-157989.00
15,-63769.00
16,-2184.00
17,1326.00
18,2081.00
19,-190396.00
20,-59184.00
21,-170579.00
22,-64169.00
23,-117370.00
24,-162371.00
25,-1035.00
26,-9381.00
27,-8167.00
28,-175589.00
29,-972.00
30,-187600.00
31,-4574.00
32,-972.00
33,-190971.00
34,-69968.00
35,-153368.00
36,-5672.00
37,-189371.00
38,-112386.00
39,-160389.00
40,-8787.00
41,-5773.00
42,-102986.00
43,-92767.00
44,-974.00
45,-137171.00
46,-972.00
47,-972.00
48,-124369.00
49,-4579.00
50,-117571.00
51,-186069.00
52,-4589.00
53,-74967.00
54,-70169.00
55,-35567.00
56,-141169.00
57,-535.00
58,-71784.00
59,-124567.00
60,-86776.00
61,-972.00
62,-191367.00
63,-1572.00
64,2031.00
65,-159985.00
66,-984.00
67,-129371.00
68,-162775.00
69,-192672.00
70,-185000.00
71,-111169.00
72,178.00
73,-181167.00
74,1953.00
75,-34367.00
76,-17771.00
77,-184200.00
78,-1573.00
79,-192971.00
80,-156767.00
81,-4572.00
82,-2184.00
83,-67969.00
84,-90567.00
85,-979.00
86,2025.00
87,-197186.00
88,-2772.00
89,-91369.00
90,-5186.00
91,-1571.00
92,-11187.00
93,-182968.00
94,-146971.00
95,-1692.00
96,-7584.00
97,-168785.00
98,-181373.00
99,-129370.00
100,-112569.00
101,-197576.00
102,-165985.00
103,-183374.00
104,-146967.00
105,-177574.00
106,2037.00
107,-118183.00
108,-111368.00
109,-3988.00
110,-134571.00
111,-3367.00
112,-128186.00
113,-2167.00
114,-97967.00
115,-9369.00
116,-111367.00
117,-972.00
118,-2767.00
119,-187967.00
120,-154670.00
121,-974.00
122,-26372.00
123,-135167.00
124,-193599.00
125,-2171.00
126,-974.00
127,-56388.00
128,1901.00
129,-1571.00
130,-986.00
131,-144272.00
132,-2784.00
133,-976.00
134,-132378.00
135,-92769.00
136,-986.00
137,-115167.00
138,-122770.00
139,-141681.00
140,1994.00
141,-165471.00
142,-4579.00
143,2039.00
144,-117572.00
145,-4568.00
146,790.00
147,-16369.00
148,1170.00
149,-972.00
150,-123567.00
151,-195391.00
152,-2771.00
153,-196375.00
154,-978.00
155,-159967.00
156,-3367.00
157,-2693.00
158,-156574.00
159,1962.00
160,-185973.00
161,-107367.00
162,-12771.00
163,-113769.00
164,1444.00
165,-2167.00
166,-973.00
167,-97968.00
168,-76968.00
169,-175196.00
170,-176371.00
171,-189174.00
172,-191967.00
173,-168978.00
174,-198771.00
175,-190381.00
176,2073.00
177,-61979.00
178,-193167.00
179,-89167.00
180,-8787.00
181,-2172.00
182,-4567.00
183,-66984.00
184,-62778.00
185,-3367.00
186,-71369.00
187,-984.00
188,-103379.00
189,-972.00
190,-142569.00
191,951.00
192,-12170.00
193,-163196.00
194,-179769.00
195,-180167.00
196,1448.00
197,-141173.00
198,560.00
199,1201.00
200,-157378.00
201,-150367.00
202,-972.00
203,-177567.00
204,-110392.00
205,-180688.00
