timestamp_utc,agent_name,mean_score,std_score,runs,max_steps,scaling_factor,arena_size,wall_obstacles,difficulty,box_speed
2026-03-17T07:08:04.730302+00:00,agent,-5749.400000,7929.137181,10,1000,5,500,1,0,2
2026-03-17T11:05:03.182044+00:00,agent,1666.200000,6215.956995,10,1000,5,500,1,0,2
